Results after 50 rounds:
Global Model results:
{'loss': 0.6655, 'accuracy': 0.7439, 'f1': 0.9359, 'accuracy_binary': 0.9373, 'recall': 0.9032, 'precision': 0.9711}
Client test 8: {'loss': 0.8234, 'accuracy': 0.7109, 'f1': 0.8692, 'accuracy_binary': 0.8818, 'recall': 0.7742, 'precision': 0.9908}
Client test 9: {'loss': 0.8282, 'accuracy': 0.7545, 'f1': 0.9451, 'accuracy_binary': 0.9455, 'recall': 0.9247, 'precision': 0.9663}
Client test 10: {'loss': 0.8075, 'accuracy': 0.72, 'f1': 0.881, 'accuracy_binary': 0.8909, 'recall': 0.7957, 'precision': 0.9867}
Client test 11: {'loss': 0.7778, 'accuracy': 0.6982, 'f1': 0.9257, 'accuracy_binary': 0.9291, 'recall': 0.871, 'precision': 0.9878}
Client test 12: {'loss': 0.841, 'accuracy': 0.6964, 'f1': 0.9251, 'accuracy_binary': 0.9273, 'recall': 0.8853, 'precision': 0.9686}
Client test 13: {'loss': 0.7822, 'accuracy': 0.7218, 'f1': 0.9216, 'accuracy_binary': 0.9255, 'recall': 0.8638, 'precision': 0.9877}
Client test 14: {'loss': 0.8504, 'accuracy': 0.7055, 'f1': 0.8975, 'accuracy_binary': 0.9036, 'recall': 0.8315, 'precision': 0.9748}
Client test 15: {'loss': 0.8165, 'accuracy': 0.7055, 'f1': 0.8969, 'accuracy_binary': 0.9018, 'recall': 0.8423, 'precision': 0.9592}
Client test 16: {'loss': 0.8482, 'accuracy': 0.7218, 'f1': 0.9199, 'accuracy_binary': 0.9218, 'recall': 0.8853, 'precision': 0.9574}
Client test 17: {'loss': 0.9156, 'accuracy': 0.7036, 'f1': 0.9194, 'accuracy_binary': 0.92, 'recall': 0.8996, 'precision': 0.9401}
Client test 18: {'loss': 0.8852, 'accuracy': 0.7164, 'f1': 0.9435, 'accuracy_binary': 0.9436, 'recall': 0.9283, 'precision': 0.9593}
